Epoch , PRN , SvX , SvY , SvZ, PrM, PrSigmaM , GTx , GTy, GTz
1 , 2 , -5503432.117684 , -18254168.947411 , 19155120.883492 , 20899905.403986, 2.098547, -2694569.133414, -4296488.687352, 3854813.203492
1 , 5 , -2180009.188530 , -26154863.548034 , -3437694.371292 , 23048501.783427, 4.197094, -2694569.133414, -4296488.687352, 3854813.203492
1 , 6 , 6164593.100916 , -13585120.274956 , 22024516.381647 , 22246384.658445, 2.398340, -2694569.133414, -4296488.687352, 3854813.203492
1 , 12 , -10898234.606907 , -15287720.228534 , 18615899.418638 , 20149364.107996, 7.195019, -2694569.133414, -4296488.687352, 3854813.203492
1 , 19 , 15895501.863944 , -16100112.336549 , 13597010.994402 , 24079595.982227, 5.096472, -2694569.133414, -4296488.687352, 3854813.203492
1 , 24 , -21925966.987240 , -14993201.861622 , -3438241.763286 , 23183099.922108, 5.696057, -2694569.133414, -4296488.687352, 3854813.203492
1 , 25 , -14683927.563925 , -4370133.678694 , 21479383.746040 , 21316105.433699, 1.798755, -2694569.133414, -4296488.687352, 3854813.203492
1 , 29 , -23791098.776630 , 2021933.599453 , 11613210.543974 , 23349052.988993, 3.597509, -2694569.133414, -4296488.687352, 3854813.203492
2 , 2 , -5501351.800447 , -18253183.729244 , 19156705.456906 , 20900132.810961, 1.798755, -2694569.134332, -4296488.687705, 3854813.202464
2 , 5 , -2179683.659059 , -26155283.087635 , -3434565.315855 , 23047922.872377, 4.796679, -2694569.134332, -4296488.687705, 3854813.202464
2 , 6 , 6166951.139147 , -13583650.835985 , 22024767.571237 , 22246912.546748, 2.098547, -2694569.134332, -4296488.687705, 3854813.202464
2 , 12 , -10897850.857812 , -15290095.124310 , 18614210.589749 , 20149289.086614, 5.696057, -2694569.134332, -4296488.687705, 3854813.202464
2 , 19 , 15897215.804674 , -16100603.098687 , 13594479.804877 , 24080131.125566, 7.195019, -2694569.134332, -4296488.687705, 3854813.202464
2 , 24 , -21925453.539086 , -14993283.586833 , -3441299.821470 , 23183672.040079, 5.096472, -2694569.134332, -4296488.687705, 3854813.202464
2 , 25 , -14683781.539309 , -4372910.315254 , 21478949.533138 , 21315662.493810, 1.498962, -2694569.134332, -4296488.687705, 3854813.202464
2 , 29 , -23789814.937071 , 2021183.166118 , 11615958.182007 , 23348624.055741, 3.297717, -2694569.134332, -4296488.687705, 3854813.202464
3 , 2 , -5499271.257584 , -18252198.543026 , 19158289.643543 , 20900347.675159, 1.798755, -2694569.134152, -4296488.687419, 3854813.202904
3 , 5 , -2179358.155474 , -26155702.251590 , -3431436.186629 , 23047342.689291, 4.197094, -2694569.134152, -4296488.687419, 3854813.202904
3 , 6 , 6169309.293898 , -13582181.525599 , 22025018.294472 , 22247442.785995, 2.098547, -2694569.134152, -4296488.687419, 3854813.202904
3 , 12 , -10897467.277890 , -15292469.827885 , 18612521.359261 , 20149190.054962, 5.696057, -2694569.134152, -4296488.687419, 3854813.202904
3 , 19 , 15898929.413738 , -16101093.847490 , 13591948.320753 , 24080680.839402, 7.195019, -2694569.134152, -4296488.687419, 3854813.202904
3 , 24 , -21924939.764468 , -14993365.155667 , -3444357.808411 , 23184234.668564, 4.796679, -2694569.134152, -4296488.687419, 3854813.202904
3 , 25 , -14683635.679102 , -4375686.901383 , 21478514.854066 , 21315231.893372, 1.498962, -2694569.134152, -4296488.687419, 3854813.202904
3 , 29 , -23788530.826864 , 2020432.513045 , 11618705.572659 , 23348165.585428, 3.597509, -2694569.134152, -4296488.687419, 3854813.202904
4 , 2 , -5497190.489404 , -18251213.388851 , 19159873.443250 , 20900576.429716, 1.798755, -2694569.129330, -4296488.680008, 3854813.198003
4 , 5 , -2179032.677678 , -26156121.039904 , -3428306.983571 , 23046756.922174, 4.796679, -2694569.129330, -4296488.680008, 3854813.198003
4 , 6 , 6171667.565138 , -13580712.343827 , 22025268.551348 , 22247973.147340, 2.098547, -2694569.129330, -4296488.680008, 3854813.198003
4 , 12 , -10897083.867232 , -15294844.338958 , 18610831.727338 , 20149090.552140, 7.195019, -2694569.129330, -4296488.680008, 3854813.198003
4 , 19 , 15900642.691358 , -16101584.582824 , 13589416.541893 , 24081216.889606, 6.295642, -2694569.129330, -4296488.680008, 3854813.198003
4 , 24 , -21924425.663495 , -14993446.568058 , -3447415.723758 , 23184809.093436, 4.796679, -2694569.129330, -4296488.680008, 3854813.198003
4 , 25 , -14683489.983276 , -4378463.437156 , 21478079.708822 , 21314796.912894, 1.798755, -2694569.129330, -4296488.680008, 3854813.198003
4 , 29 , -23787246.446122 , 2019681.640514 , 11621452.715690 , 23347723.396128, 3.597509, -2694569.129330, -4296488.680008, 3854813.198003
5 , 2 , -5495109.495738 , -18250228.266713 , 19161456.856109 , 20900797.785388, 1.798755, -2694569.128722, -4296488.679593, 3854813.198884
5 , 5 , -2178707.225620 , -26156539.452576 , -3425177.706672 , 23046158.346582, 5.096472, -2694569.128722, -4296488.679593, 3854813.198884
5 , 6 , 6174025.952807 , -13579243.290707 , 22025518.341861 , 22248501.467038, 2.398340, -2694569.128722, -4296488.679593, 3854813.198884
5 , 12 , -10896700.625832 , -15297218.657477 , 18609141.694000 , 20148987.524381, 6.295642, -2694569.128722, -4296488.679593, 3854813.198884
5 , 19 , 15902355.637127 , -16102075.304746 , 13586884.468660 , 24081775.503006, 5.696057, -2694569.128722, -4296488.679593, 3854813.198884
5 , 24 , -21923911.236106 , -14993527.824086 , -3450473.567588 , 23185381.494070, 4.796679, -2694569.128722, -4296488.679593, 3854813.198884
5 , 25 , -14683344.451855 , -4381239.922320 , 21477644.097433 , 21314369.523282, 1.498962, -2694569.128722, -4296488.679593, 3854813.198884
5 , 29 , -23785961.794758 , 2018930.548248 , 11624199.611371 , 23347261.523014, 3.597509, -2694569.128722, -4296488.679593, 3854813.198884
6 , 2 , -5493028.276657 , -18249243.176681 , 19163039.882060 , 20901016.889974, 1.798755, -2694569.128619, -4296488.678596, 3854813.200059
6 , 5 , -2178381.799324 , -26156957.489567 , -3422048.356157 , 23045561.725441, 5.096472, -2694569.128619, -4296488.678596, 3854813.200059
6 , 6 , 6176384.456863 , -13577774.366274 , 22025767.666006 , 22249027.867184, 2.098547, -2694569.128619, -4296488.678596, 3854813.200059
6 , 12 , -10896317.553709 , -15299592.783265 , 18607451.259355 , 20148893.047221, 6.295642, -2694569.128619, -4296488.678596, 3854813.200059
6 , 19 , 15904068.251548 , -16102566.013063 , 13584352.100665 , 24082303.997275, 5.696057, -2694569.128619, -4296488.678596, 3854813.200059
6 , 24 , -21923396.482335 , -14993608.923761 , -3453531.339713 , 23185963.946051, 3.897302, -2694569.128619, -4296488.678596, 3854813.200059
6 , 25 , -14683199.084796 , -4384016.357104 , 21477208.019879 , 21313927.894270, 1.498962, -2694569.128619, -4296488.678596, 3854813.200059
6 , 29 , -23784676.872976 , 2018179.236507 , 11626946.259287 , 23346818.688062, 3.597509, -2694569.128619, -4296488.678596, 3854813.200059
7 , 2 , -5490946.832254 , -18248258.118815 , 19164622.521045 , 20901239.362464, 1.798755, -2694569.127956, -4296488.677817, 3854813.201381
7 , 5 , -2178056.398925 , -26157375.150817 , -3418918.932358 , 23044992.727953, 5.096472, -2694569.127956, -4296488.677817, 3854813.201381
7 , 6 , 6178743.077131 , -13576305.570637 , 22026016.523769 , 22249563.620687, 2.398340, -2694569.127956, -4296488.677817, 3854813.201381
7 , 12 , -10895934.650754 , -15301966.716440 , 18605760.423345 , 20148790.542972, 5.096472, -2694569.127956, -4296488.677817, 3854813.201381
7 , 19 , 15905780.534161 , -16103056.707817 , 13581819.438350 , 24082848.144469, 5.696057, -2694569.127956, -4296488.677817, 3854813.201381
7 , 24 , -21922881.401941 , -14993689.867365 , -3456589.040491 , 23186515.284248, 4.796679, -2694569.127956, -4296488.677817, 3854813.201381
7 , 25 , -14683053.882134 , -4386792.741089 , 21476771.476211 , 21313499.806653, 1.798755, -2694569.127956, -4296488.677817, 3854813.201381
7 , 29 , -23783391.680715 , 2017427.705017 , 11629692.659647 , 23346365.731997, 3.897302, -2694569.127956, -4296488.677817, 3854813.201381
8 , 2 , -5488865.162521 , -18247273.093159 , 19166204.773052 , 20901461.974540, 2.098547, -2694569.122694, -4296488.670815, 3854813.196333
8 , 5 , -2177731.023922 , -26157792.436430 , -3415789.434723 , 23044392.128157, 7.195019, -2694569.122694, -4296488.670815, 3854813.196333
8 , 6 , 6181101.813693 , -13574836.903757 , 22026264.915155 , 22250096.826404, 2.098547, -2694569.122694, -4296488.670815, 3854813.196333
8 , 12 , -10895551.917024 , -15304340.456769 , 18604069.186102 , 20148696.571867, 5.696057, -2694569.122694, -4296488.670815, 3854813.196333
8 , 19 , 15907492.485241 , -16103547.388879 , 13579286.481513 , 24083377.441401, 6.295642, -2694569.122694, -4296488.670815, 3854813.196333
8 , 24 , -21922365.995199 , -14993770.654646 , -3459646.669299 , 23187090.459499, 4.796679, -2694569.122694, -4296488.670815, 3854813.196333
8 , 25 , -14682908.843839 , -4389569.074432 , 21476334.466415 , 21313067.984661, 1.798755, -2694569.122694, -4296488.670815, 3854813.196333
8 , 29 , -23782106.218064 , 2016675.953815 , 11632438.812312 , 23345911.711461, 4.197094, -2694569.122694, -4296488.670815, 3854813.196333
9 , 2 , -5486783.267508 , -18246288.099746 , 19167786.638061 , 20901681.759689, 1.798755, -2694569.121836, -4296488.670557, 3854813.197214
9 , 5 , -2177405.674694 , -26158209.346294 , -3412659.863839 , 23043809.065823, 5.696057, -2694569.121836, -4296488.670557, 3854813.197214
9 , 6 , 6183460.666577 , -13573368.365623 , 22026512.840167 , 22250616.700185, 2.098547, -2694569.121836, -4296488.670557, 3854813.197214
9 , 12 , -10895169.352475 , -15306714.004281 , 18602377.547602 , 20148599.773832, 4.796679, -2694569.121836, -4296488.670557, 3854813.197214
9 , 19 , 15909204.104436 , -16104038.056296 , 13576753.230464 , 24083921.606004, 5.096472, -2694569.121836, -4296488.670557, 3854813.197214
9 , 24 , -21921850.261975 , -14993851.285765 , -3462704.226367 , 23187660.103007, 4.796679, -2694569.121836, -4296488.670557, 3854813.197214
9 , 25 , -14682763.969916 , -4392345.357034 , 21475896.990500 , 21312631.817578, 1.798755, -2694569.121836, -4296488.670557, 3854813.197214
9 , 29 , -23780820.485067 , 2015923.982922 , 11635184.717227 , 23345455.474751, 3.897302, -2694569.121836, -4296488.670557, 3854813.197214
10 , 2 , -5484701.147228 , -18245303.138657 , 19169368.116017 , 20901904.354327, 1.798755, -2694569.120477, -4296488.670612, 3854813.198095
10 , 5 , -2177080.350840 , -26158625.880467 , -3409530.219434 , 23043212.025850, 5.696057, -2694569.120477, -4296488.670612, 3854813.198095
10 , 6 , 6185819.635483 , -13571899.956424 , 22026760.298778 , 22251151.057659, 1.798755, -2694569.120477, -4296488.670612, 3854813.198095
10 , 12 , -10894786.957032 , -15309087.358942 , 18600685.507891 , 20148502.487194, 5.096472, -2694569.120477, -4296488.670612, 3854813.198095
10 , 19 , 15910915.391948 , -16104528.709909 , 13574219.685120 , 24084464.967914, 5.096472, -2694569.120477, -4296488.670612, 3854813.198095
10 , 24 , -21921334.202333 , -14993931.760712 , -3465761.711364 , 23188251.437121, 4.197094, -2694569.120477, -4296488.670612, 3854813.198095
10 , 25 , -14682619.260345 , -4395121.588855 , 21475459.048483 , 21312194.568590, 1.798755, -2694569.120477, -4296488.670612, 3854813.198095
10 , 29 , -23779534.481866 , 2015171.792384 , 11637930.374141 , 23345018.817191, 3.297717, -2694569.120477, -4296488.670612, 3854813.198095
11 , 2 , -5482618.801755 , -18244318.209915 , 19170949.206904 , 20902126.477810, 1.798755, -2694569.114280, -4296488.664063, 3854813.193194
11 , 5 , -2176755.052714 , -26159042.038852 , -3406400.502005 , 23042641.510188, 6.295642, -2694569.114280, -4296488.664063, 3854813.193194
11 , 6 , 6188178.720507 , -13570431.676104 , 22027007.290997 , 22251681.070025, 1.798755, -2694569.114280, -4296488.664063, 3854813.193194
11 , 12 , -10894404.730730 , -15311460.520646 , 18598993.067008 , 20148404.432748, 4.796679, -2694569.114280, -4296488.664063, 3854813.193194
11 , 19 , 15912626.347625 , -16105019.349737 , 13571685.845596 , 24085013.861514, 5.096472, -2694569.114280, -4296488.664063, 3854813.193194
11 , 24 , -21920817.816030 , -14994012.079751 , -3468819.124767 , 23188810.819868, 4.197094, -2694569.114280, -4296488.664063, 3854813.193194
11 , 25 , -14682474.715151 , -4397897.769679 , 21475020.640384 , 21311762.851319, 1.798755, -2694569.114280, -4296488.664063, 3854813.193194
11 , 29 , -23778248.208350 , 2014419.381924 , 11640675.783371 , 23344560.399193, 3.597509, -2694569.114280, -4296488.664063, 3854813.193194
12 , 2 , -5480536.231114 , -18243333.313571 , 19172529.910694 , 20902347.990529, 2.098547, -2694569.112178, -4296488.664320, 3854813.194369
12 , 5 , -2176429.779945 , -26159457.821518 , -3403270.711184 , 23042055.969903, 5.696057, -2694569.112178, -4296488.664320, 3854813.194369
12 , 6 , 6190537.921526 , -13568963.524743 , 22027253.816815 , 22252213.473052, 1.798755, -2694569.112178, -4296488.664320, 3854813.194369
12 , 12 , -10894022.673548 , -15313833.489324 , 18597300.224998 , 20148306.954155, 5.096472, -2694569.112178, -4296488.664320, 3854813.194369
12 , 19 , 15914336.971683 , -16105509.975665 , 13569151.711742 , 24085544.153143, 4.796679, -2694569.112178, -4296488.664320, 3854813.194369
12 , 24 , -21920301.103331 , -14994092.242639 , -3471876.465971 , 23189391.491916, 4.796679, -2694569.112178, -4296488.664320, 3854813.194369
12 , 25 , -14682330.334317 , -4400673.899517 , 21474581.766205 , 21311331.116594, 1.798755, -2694569.112178, -4296488.664320, 3854813.194369
12 , 29 , -23776961.664701 , 2013666.751787 , 11643420.944546 , 23344114.283625, 3.897302, -2694569.112178, -4296488.664320, 3854813.194369
13 , 2 , -5478453.435266 , -18242348.449678 , 19174110.227372 , 20902565.734003, 2.098547, -2694569.110814, -4296488.664645, 3854813.194956
13 , 5 , -2176104.532601 , -26159873.228414 , -3400140.847278 , 23041478.683581, 4.796679, -2694569.110814, -4296488.664645, 3854813.194956
13 , 6 , 6192897.238545 , -13567495.502351 , 22027499.876229 , 22252745.404933, 1.798755, -2694569.110814, -4296488.664645, 3854813.194956
