Epoch , PRN , SvX , SvY , SvZ, PrM, PrSigmaM , GTx , GTy, GTz
1 , 2 , -8249200.952497 , -19624075.067486 , 16555870.712635 , 20671113.967702, 15.889000, -2712168.250867, -4269174.482007, 3872721.671265
1 , 5 , -2638931.052067 , -25249130.646582 , -7589276.875226 , 23906920.150836, 8.094396, -2712168.250867, -4269174.482007, 3872721.671265
1 , 6 , 3494809.330942 , -15453948.301905 , 21359702.392657 , 21666111.626186, 4.796679, -2712168.250867, -4269174.482007, 3872721.671265
1 , 12 , -11623433.079768 , -11801581.187896 , 20562932.466703 , 20364452.368107, 3.597509, -2712168.250867, -4269174.482007, 3872721.671265
1 , 19 , 13161050.423256 , -15448489.205046 , 16817883.668425 , 23334819.744837, 7.195019, -2712168.250867, -4269174.482007, 3872721.671265
1 , 25 , -15026640.056166 , -681773.685684 , 21643400.076354 , 21916065.766095, 2.698132, -2712168.250867, -4269174.482007, 3872721.671265
2 , 2 , -8247466.685227 , -19623099.914560 , 16557967.351968 , 20671178.626765, 8.094396, -2712168.250867, -4269174.482007, 3872721.671265
2 , 5 , -2638526.374054 , -25250043.252792 , -7586307.865808 , 23906279.163500, 9.293566, -2712168.250867, -4269174.482007, 3872721.671265
2 , 12 , -11622801.920579 , -11804162.131136 , 20561835.579555 , 20364224.141389, 4.197094, -2712168.250867, -4269174.482007, 3872721.671265
2 , 19 , 13163196.829610 , -15448948.839830 , 16815815.835790 , 23335346.494846, 15.889000, -2712168.250867, -4269174.482007, 3872721.671265
2 , 25 , -15026268.721047 , -684553.962978 , 21643593.603307 , 21915526.402014, 3.597509, -2712168.250867, -4269174.482007, 3872721.671265
3 , 2 , -8245732.152178 , -19622124.720291 , 16560063.654465 , 20671279.178425, 7.195019, -2712168.250806, -4269174.481912, 3872721.671412
3 , 5 , -2638121.786355 , -25250955.511239 , -7583338.693828 , 23905640.706270, 13.790453, -2712168.250806, -4269174.481912, 3872721.671412
3 , 12 , -11622170.947847 , -11806742.973846 , 20560738.247194 , 20363991.618680, 3.597509, -2712168.250806, -4269174.481912, 3872721.671412
3 , 19 , 13165342.952713 , -15449408.533354 , 16813747.636968 , 23335861.343952, 6.295642, -2712168.250806, -4269174.481912, 3872721.671412
3 , 24 , -22304044.822303 , -14762028.512322 , 711363.622867 , 22448518.527572, 23.983397, -2712168.250806, -4269174.481912, 3872721.671412
